 REGION , DISTRICT , Somme de POPULATION2 , (F) Nombre Commune exposées , (F)  Nombres Fokontany Exposé , (F)  Population exposée , (F)  Population affectées , (F)  HEA (Group socio Très pauvre - Sinistrées) , (F) Déplacées en site , (F) Déplacées en site préventivement , (M)  Nombre Commune exposées , (M)  Nombres Fokontany Exposé , (M)  Population exposée , (M)  Population affectées , (M)  HEA (Group socio Très pauvre - Sinistrées) , (M) Déplacées en site , (M) Déplacées en site préventivement , (E)  Nombre Commune exposées , (E) Nombres Fokontany Exposé , (E) Population exposée , (E) Population affectées , (E) HEA (Group socio Très pauvre - Sinistrées) , (E) Déplacées en site , (E) Déplacées en site préventivement , FAIBLE ,Système,Nom,Année,Vitesse de vent,Précipitation,Population 5-17 ans scolarisable ,% Hommes,% Femmes,Enfant moins de 5 ans,Prévalence (en %) du handicap,Femmes enceintes et allaitantes (Enfant - 2 ans et TBN),Personnes agées plus de 60 ans,Somme de  Cases d'habitations détruites,Somme de  Cases d'habitations inondées,Somme de  Cases d'habitations endommagées/ Décoiffées ,Elèves privés de cours à cause de l'évènement,Salle de classe totalement détruites,Salle de classe endommagées,Salle de classe décoiffées,CSB1/ CSB2 totalement détruites,CSB1/ CSB2 endommagées ou partiellement détruites,CSB1/ CSB2 décoiffées,Agriculture,Elevage,Pêche,Ménages Agricoles, MODERE ,Système,Nom,Année,Vitesse de vent,Précipitation,Population 5-17 ans scolarisable ,% Hommes,% Femmes,Enfant moins de 5 ans,Prévalence (en %) du handicap,Femmes enceintes et allaitantes (Enfant - 2 ans et TBN),Personnes agées plus de 60 ans,Somme de  Cases d'habitations détruites,Somme de  Cases d'habitations inondées,Somme de  Cases d'habitations endommagées/ Décoiffées ,Elèves privés de cours à cause de l'évènement,Salle de classe totalement détruites,Salle de classe endommagées,Salle de classe décoiffées,CSB1/ CSB2 totalement détruites,CSB1/ CSB2 endommagées ou partiellement détruites,CSB1/ CSB2 décoiffées,Agriculture,Elevage,Pêche,Ménages Agricoles, FORT ,Système,Nom,Année,Vitesse de vent,Précipitation,Population 5-17 ans scolarisable ,% Hommes,% Femmes,Enfant moins de 5 ans,Prévalence (en %) du handicap,Femmes enceintes et allaitantes (Enfant - 2 ans et TBN),Personnes agées plus de 60 ans,Somme de  Cases d'habitations détruites,Somme de  Cases d'habitations inondées,Somme de  Cases d'habitations endommagées/ Décoiffées ,Elèves privés de cours à cause de l'évènement,Salle de classe totalement détruites,Salle de classe endommagées,Salle de classe décoiffées,CSB1/ CSB2 totalement détruites,CSB1/ CSB2 endommagées ou partiellement détruites,CSB1/ CSB2 décoiffées,Agriculture,Elevage,Pêche,Ménages Agricoles
 ALAOTRA MANGORO , AMBATONDRAZAKA ,"395,156",7,10,"60,165","5,012","1,504",344,69,8,11,"65,430","7,505","2,389",547,109,15,30,"109,951","10,730","3,219",737,147, F , CT , ENAWO , 2016-2017 , 89 à 117 km/h ,,"1,669",749,755,214,90,140,68,59,100,207,"1,669",3,3,3,3,4,4,,,,, M , ZCIT , Forte pluie de 19 au 24 Janvier 2020 , 2019-2020 ,,,"2,499","1,190","1,199",339,143,223,107,94,159,329,"2,499",5,6,5,7,7,6,,,,, F , ZCIT , ZCIT 2 , 2014-2015 ,,,"3,573","1,603","1,616",457,193,300,145,127,215,443,"3,573",10,13,6,12,16,8,,,,
, AMPARAFARAVOLA ,"356,019",10,21,"80,359","10,342","3,103",513,103,11,23,"83,297","13,694","4,359",720,144,16,38,"110,834","20,875","6,262","1,035",207, F , FTT , CHEDZA , 2014-2015 , 51 à 62 km/h ,,"3,444","1,545","1,558",441,186,289,140,120,202,417,"3,444",4,5,5,2,3,2,,,,, M , FTT , CHEDZA , 2014-2015 , 51 à 62 km/h ,,"4,560","2,171","2,188",619,262,406,196,168,284,586,"4,560",8,8,7,4,4,3,,,,, F , ZCIT , ZCIT 2 , 2014-2015 ,,,"6,951","3,119","3,144",889,376,584,282,241,407,842,"6,951",14,19,9,7,9,5,,,,
, ANDILAMENA ,"115,002",1,1,"3,217",125,38,5,1,1,2,"4,296",233,74,10,2,3,6,"21,008",759,228,30,6, F , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,42,19,19,5,2,3,2,1,2,5,42,1,1,1,1,1,1,,,,, M , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,78,37,37,11,4,7,3,3,5,10,78,2,2,2,2,2,2,,,,, F , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,253,113,114,32,14,21,10,9,14,30,253,3,4,2,4,5,3,,,,
, ANOSIBE-AN'ALA ,"125,902",1,8,"13,010","1,162",349,47,9,1,8,"13,010","1,306",416,56,11,5,19,"32,156","2,121",636,85,17, F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h ,,387,174,175,50,21,33,16,12,20,41,387,1,1,1,1,2,2,,,,, M , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h ,,435,207,209,59,25,39,19,14,24,49,435,2,2,2,3,3,2,,,,, F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 166 à 212 km/h ,,706,317,319,90,38,59,29,21,36,75,706,4,5,2,5,7,3,,,,
, MORAMANGA ,"386,948",5,13,"59,506","4,039","1,212",485,97,6,17,"67,802","5,698","1,814",727,145,9,36,"101,362","10,602","3,181","1,274",255, F , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,"1,345",603,608,172,73,113,55,48,81,167,"1,345",4,5,5,3,4,4,,,,, M , CT , AVA , 2017-2018 , 118 à 165 km/h ,,"1,897",903,910,258,109,169,82,72,121,250,"1,897",7,8,7,6,7,6,,,,, F , CT , ENAWO , 2016-2017 , 118 à 165 km/h ,,"3,530","1,584","1,597",452,191,297,143,126,212,438,"3,530",14,18,9,12,16,8,,,,
 Total ALAOTRA MANGORO ,5,"1,379,027",23,52,"216,257","20,680","6,204","1,657",331,26,60,"233,835","28,436","9,051","2,417",483,48,128,"375,310","45,086","13,526","3,612",722, F , ZCIT , ZCIT/Forte pluie du 17 Janvier 2022/TTM ANA , 2021-2022 , 89 à 117 km/h , -   ,"6,886","3,090","3,114",881,372,578,279,240,405,837,"6,886",12,16,15,11,15,14,"17,516","14,703","3,371","18,446", M , CT , ENAWO , 2016-2017 , 89 à 117 km/h ,,"9,469","4,508","4,544","1,285",543,844,407,351,592,"1,224","9,469",24,27,21,22,24,19,"24,085","20,218","4,635","25,365", F , ZCIT , Forte pluie de 19 au 24 Janvier 2020 , 2019-2020 ,,,"15,014","6,736","6,790","1,921",812,"1,261",609,524,885,"1,829","15,014",44,59,29,40,54,26,"38,188","32,056","7,349","40,217"
 ANALAMANGA , AMBOHIDRATRIMO ,"502,544",14,39,"88,447","13,216","3,124","1,839",368,18,53,"125,339","27,189","8,654","5,093","1,019",22,124,"236,969","79,246","23,774","13,990","2,798", F , CT , AVA , 2017-2018 ,,,"3,806","1,534","1,590",366,156,260,175,145,145,492,"3,806",2,2,2,2,2,3,,,,, M , FTT , CHEDZA , 2014-2015 ,,,"7,830","4,249","4,405","1,013",433,720,485,401,401,"1,362","7,830",2,4,6,2,5,8,,,,, F , ZCIT , ZCIT/Forte pluie du 17 Janvier 2022/TTM ANA , 2021-2022 ,,,"22,823","11,673","12,101","2,782","1,189","1,979","1,331","1,101","1,102","3,740","22,823",2,9,11,3,12,15,,,,
, ANDRAMASINA ,"192,451",4,11,"20,412","1,483",351,308,62,10,44,"69,028","12,276","3,908","3,435",687,12,69,"98,787","30,662","9,199","8,087","1,617", F , FTT , CHEDZA , 2014-2015 ,,,427,172,178,41,18,29,20,15,15,50,427,3,3,4,1,2,2,,,,, M , FTT , CHEDZA , 2014-2015 ,,,"3,536","1,919","1,989",457,195,325,219,165,165,559,"3,536",3,7,10,1,3,5,,,,, F , FTT , CHEDZA , 2014-2015 ,,,"8,831","4,516","4,682","1,076",460,766,515,387,388,"1,316","8,831",4,16,19,2,8,10,,,,
, ANJOZOROBE ,"257,394",10,21,"39,600","3,168","1,008",295,59,16,45,"83,396","13,725","4,369","1,280",256,17,97,"151,507","43,432","13,029","3,818",764, F , FTT , CHEDZA , 2014-2015 ,,,912,495,513,118,50,84,56,42,42,141,912,2,3,3,2,2,2,,,,, M , ZCIT , ZCIT/Forte pluie du 17 Janvier 2022/TTM ANA , 2021-2022 ,,,"3,953","2,145","2,224",511,218,364,245,180,180,611,"3,953",2,6,9,2,4,6,,,,, F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 ,,,"12,508","6,397","6,632","1,524",651,"1,084",730,537,537,"1,822","12,508",3,13,16,2,10,12,,,,
, ANKAZOBE ,"220,044",9,34,"61,072","5,005","1,593",319,64,13,49,"87,560","18,112","5,765","1,153",231,13,88,"132,424","46,555","13,967","2,793",559, F , CT , ENAWO , 2016-2017 ,,,"1,442",782,811,186,80,133,89,66,66,223,"1,442",1,1,2,1,2,2,,,,, M , CT , AVA , 2017-2018 ,,,"5,216","2,831","2,934",675,288,480,323,237,238,806,"5,216",1,3,5,1,4,5,,,,, F , ZCIT , ZCIT/Forte pluie du 17 Janvier 2022/TTM ANA , 2021-2022 ,,,"13,408","6,858","7,109","1,634",698,"1,162",782,575,575,"1,953","13,408",2,7,9,2,8,10,,,,
