,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,ALAOTRA MANGORO,,,,,,,,"Description : ALAOTRA : RIZ, PECHE, ELEVAGE (ZONE 7)
Cette zone se définit surtout par les activités dans les plaines autour du Lac Alaotra, le plus grand lac de Madagascar. C’est aussi la zone dégageant le plus grand surplus de riz dans le pays. La végétation naturelle est surtout composée de forêt tertiaire à base d’eucalyptus sur collines latéritiques, mais aussi d’aristida et de marais (zetra) argileux ou tourbeux autour du lac. La pluviométrie varie de 700 à 1500 mm/an (moyenne de 1300 mm/an dans la région d’AlaotraMangoro) avec une saison des pluies ayant lieu entre novembre et mars/avril. ",,,,,,
,,,,"Ambatondrazaka, Amparafaravola, Andilamena, Anosibe An'Ala, Moramanga",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,VULNERABILITE DE LA REGION,,,,,,,,,,DESCRIPTION DE LA ZONE,,,,,,
,,, Faible ,, Moderé ,, Fort ,,,,,,,,,,,
,,Types de système, ZCIT ,, CT ,, ZCIT ,,,,,Nombre de population,,," 1,379,027   ",,,
,,Nom, ZCIT/Forte pluie du 17 Janvier 2022/TTM ANA ,, ENAWO ,, Forte pluie de 19 au 24 Janvier 2020 ,,,,,Nombre de district,,, 5   ,,,
,,Année, 2021-2022 ,, 2016-2017 ,, 2019-2020 ,,,,,Nombre de Commune,,, 87   ,,,
,,Vent moyen, -   ,, -   ,, -   ,,,,,Nombre de FKT,,, 706   ,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Zone exposées,,,,,,,,,,DONNEES STATISTIQUES  DE BASE,,,,,,
,,Population exposée," 216,257   ",15.68%," 233,835   ",16.96%," 375,310   ",27.22%,,,,Taille de ménage,,,, 4.2   ,,
,,Menages exposés," 51,490   ",," 55,675   ",," 89,360   ",,,,,Population 5-17 ans scolarisable ,,,,33.30%,,
,,Commune exposée, 23   ,26.44%, 26   ,29.89%, 48   ,54.60%,,,,Enfant moins de 5 ans,,,,14.20%,,
,,Zones affectées,,,,,,,,,,Prévalence (en %) du handicap,,,,6.00%,,
,,Personnes affectées," 20,680   ",1.50%," 28,436   ",2.06%," 45,086   ",3.27%,,,,Femmes enceintes et allaitantes,,,,9.32%,,
,,Personnes sinistrées," 6,204   ",0.45%," 9,051   ",0.66%," 13,526   ",0.98%,,,,Personnes agées + 60 ans,,,,4.50%,,
,,Menages sinistrées," 1,477   ",," 2,155   ",," 3,220   ",,,,,,,,,,,
,,Déplacement préventive (pers), 331   ,, 483   ,, 722   ,,,,,DONNEES HEA/ DESCRIPTION ZONES,,,,,,
,,Somme pers déplacées en site (%/pop)," 1,657   ",0.12%," 2,417   ",0.18%," 3,612   ",0.26%,,,, ZME , MG07 ," PRINCIPAUX ALEAS, PERIODE, FREQUENCE ",,,,
,,Nombre commune affectées, 23   ,26.44%, 26   ,29.89%, 48   ,54.60%,,,,Très pauvres,30.00%," - Inondation, surtout du cyclone (Février-avril, 1/4 ans)
 - Retard des pluies, sécheresse (Nov, déc 1/4 ans)
 - Effondrement de prix à la récolte (Mai/juin, 1/4 ans)
 - Epizootie porcine",,,,
,,Nombre FKT affectés, 52   ,7.29%, 60   ,8.43%, 128   ,18.06%,,,,Pauvre,37.00%,,,,,
,,,,,,,,,,,,Moyens,23.00%,,,,,
,,,,,,,,,,,,Riches,10.00%,,,,,
,,,,,,,,,,,,,,,,,,
